expense_id,expense_date,channel,campaign,expense_category,amount,leads_generated,impressions,clicks
exp_3e1341b0076b,2026-04-14,Google Ads,Real Estate Mentorship,Advertising,3343.45,31,3888,106
exp_8b3d0480983b,2026-04-07,Organic,Organic Content,Creative Production,2006.74,66,11540,476
exp_f170f5238416,2026-04-26,Referral,Partner Referral,Contractor,498.98,19,3324,137
exp_f7ece44c85ab,2026-04-03,Referral,Client Referral,Contractor,592.6,19,1879,77
exp_c9dc3534eb30,2026-04-11,Webinar,5-Day Investor Challenge,Event,3898.2,40,3374,153
exp_b0d5299429fc,2026-04-20,Webinar,VIP Webinar,Event,3934.25,38,4438,147
exp_d3c4cbde8398,2026-04-28,Email Campaign,Database Reactivation,Software,848.09,22,3314,112
exp_a27d1a1a999e,2026-04-22,Direct,Direct Traffic,Software,205.28,11,1799,53
exp_96d9add271a5,2026-05-19,Meta Ads,Evergreen Wealth,Advertising,4042.04,52,10361,283
exp_a6e0cc988668,2026-05-21,Meta Ads,Investor Calculator,Advertising,4221.91,52,5364,297
exp_a0212663f9b6,2026-05-21,Meta Ads,Mentorship VSL,Advertising,6771.03,49,5833,298
exp_86d04cb20c61,2026-05-14,Google Ads,High Intent Search,Advertising,2905.06,22,1615,75
exp_ab7814dda824,2026-05-03,Google Ads,Real Estate Mentorship,Advertising,4273.28,30,5604,204
exp_469920604e61,2026-05-28,Organic,Organic Content,Creative Production,1719.48,73,6894,252
exp_19f8bb6a3239,2026-05-08,Referral,Partner Referral,Contractor,566.84,23,3482,92
exp_e0ef9da8e9cc,2026-05-20,Referral,Client Referral,Contractor,764.55,22,2458,95
exp_3b19894ca012,2026-05-30,Webinar,5-Day Investor Challenge,Creative Production,1970.11,44,4618,224
exp_f1ec748b5802,2026-05-12,Webinar,VIP Webinar,Event,1449.94,46,8108,204
exp_9d168447ea7a,2026-05-13,Email Campaign,Database Reactivation,Software,646.0,22,2504,68
exp_04973a61ffdc,2026-05-24,Direct,Direct Traffic,Software,598.04,16,3622,88
exp_20f6cd602cba,2026-06-06,Meta Ads,Evergreen Wealth,Advertising,6725.86,33,2811,133
exp_eed05ec5d554,2026-06-06,Meta Ads,Investor Calculator,Advertising,7025.84,42,8183,238
exp_9011c3283aa5,2026-06-28,Meta Ads,Mentorship VSL,Advertising,6261.56,56,9520,353
exp_14452502d956,2026-06-29,Google Ads,High Intent Search,Advertising,2579.4,22,3262,105
exp_c09392839136,2026-06-09,Google Ads,Real Estate Mentorship,Advertising,3686.79,37,7827,269
exp_c21e3ce8a29b,2026-06-30,Organic,Organic Content,Creative Production,965.01,56,6003,251
exp_2354de710979,2026-06-17,Referral,Partner Referral,Contractor,598.76,19,4755,134
exp_67ab1337193f,2026-06-09,Referral,Client Referral,Contractor,1443.12,11,940,52
exp_eecc1034e299,2026-06-18,Webinar,5-Day Investor Challenge,Event,1539.24,35,5776,191
exp_a8d8e1527689,2026-06-30,Webinar,VIP Webinar,Event,3578.0,41,5696,149
exp_dd6e5beb18a2,2026-06-12,Email Campaign,Database Reactivation,Software,400.74,19,3300,123
exp_e84e6a6a4b78,2026-06-05,Direct,Direct Traffic,Software,578.0,26,3934,174
